建设单位,项目名称,建设位置,规划验收证照名称,规划验收发文号,验收日期
国网北京市电力公司,西北地埋变改造工程,由海淀区西北旺镇中路西北旺镇二号路到海淀区西北旺镇二号路,2019规自条市政字0137号,2019条市政字0146,办结
国网北京市电力公司,国网北京海淀供电公司10kV金源西开闭站网架结构优化工程,由海淀区远大西路远大西路到海淀区远大西路,2019规自条市政字0139号,2019条市政字0143,办结
国网北京市电力公司,10KV农科一二路外电源改造工程,由海淀区兽药监察所南路兽药监察所南路到海淀区兽药监察所南路,2019规自条市政字0138号,2019条市政字0142,办结
国网北京市电力公司,师大南院一二路外电源改造工程,由海淀区车公庄西路车公庄西路至西三环花园桥到海淀区西三环花园桥,2019规自条市政字0136号,2019条市政字0141,办结
国网北京市电力公司,蓝旗营开闭站外电源改造工程,由海淀区成府路海淀区成府路到海淀区成府路,2019规自条市政字0135号,2019条市政字0140,办结
北京鸿昌房地产开发有限责任公司,,由通州区嘉创路通州区台湖镇嘉创路到通州区嘉创路,2019规自条市政否字0029号,2019条市政字0139,办结
北京祥龙京南昌达物流有限公司,京南昌达物流园一期（1#仓库等11项）配电室外电源线工程,大兴区狼大路及庆丰路交叉路口东北角狼大路及庆丰路交叉路口东北角汇源路,2019规自条市政否字0035号,2019条市政字0138,办结
国网北京市电力公司,,由朝阳区三间房中路沿朝阳北路三间房中路沿朝阳北路至定福庄北街到朝阳区定福庄北街,2019规自条市政否字0034号,2019条市政字0137,办结
京沈铁路客运专线京冀有限公司,京沈客运专线北京段温榆河特大桥水源九厂自来水管改迁工程,由昌平区京承高速公路东侧京承高速公路东侧至顺于路北侧到顺义区顺于路北侧,2019规自条市政字0127号,2019条市政字0134,办结
北京鎏金置业有限责任公司,北京市石景山区西黄村棚户区改造土地开发项目35KV及110KV迁改新建电力隧道,由石景山区石景山区到石景山区,2019规自条市政字0130号,2019条市政字0133,办结
北京市南水北调工程建设管理中心,北京市南水北调配套工程河西支线工程卢沟桥段,由丰台区卢沟桥乡卢沟桥村卢沟桥乡卢沟桥村到丰台区卢沟桥乡卢沟桥村,2019规自条市政否字0032号,2019条市政字0129,办结
国网北京市电力公司,路庄110千伏外电源（高教园南三街）电力隧道工程,由昌平区沙河高教园区沙河镇到昌平区沙河高教园区,2019规自条市政否字0030号,2019条市政字0127,办结
中国医学科学院医学信息研究所,中国医学科学院医学信息研究所10KV供电工程,由海淀区羊坊店路金鱼胡同、雅宝路、光华路到海淀区羊坊店路,,2019条市政字0125,正常移交
国网北京市电力公司,孙城一二220千伏线路入地（中关村科技园电子城北区）工程,由朝阳区劈李村劈李村至善各庄村、黄家村到朝阳区善各庄村、黄家村,2019规自条市政字0122号,2019条市政字0124,办结
北京市西城区教育委员会基建管理中心,北京市第一六一中学南校区改扩建项目（热力外线工程）,由西城区西交民巷西城区西交民巷到西城区西交民巷,2019规自条市政字0121号,2019条市政字0122,办结
北京市轨道交通建设管理有限公司,北京轨道交通新机场线一期工程磁草牵引站总配外电源工程,由大兴区西南公路一环大兴区西南公路一环至丰台区通久路到丰台区通久路,2019规自条市政字0120号,2019条市政字0121,办结
北京佳源投资经营有限责任公司,朝阳区豆各庄东城区定向安置房项目孛罗营北路（通惠灌渠西路~茶家东路）市政排水,由朝阳区通惠灌渠西路通惠灌渠西路至茶家东路到朝阳区茶家东路,,2019条市政字0119,正常移交
文化和旅游部恭王府博物馆,文化部恭王府管理中心10KV外电源工程,由西城区地安门西大街地安门西大街至前海西街到西城区前海西街,2019规自条市政字0114号,2019条市政字0118,办结
北京市轨道交通建设管理有限公司,北京轨道交通房山线北延工程四环路站总配外电源工程（过渡）,由丰台区樊羊路樊羊路至四合庄一号路到丰台区四合庄一号路,2019规自条市政字0117号,2019条市政字0117,办结
北京首开亿信置业股份有限公司,,由朝阳区方庄东路与规划方庄东一号路交界处新建电力四通井起于朝阳区方庄东路与规划方庄东一号路交界处，止于丰台区方庄车路南口路东侧到丰台区方庄东路南口路东侧现状开闭器人孔井,2019规自条市政否字0027号,2019条市政字0116,办结
国网北京市电力公司,京沈客专密云东牵引站220千伏外部供电工程,由密云区河南寨镇河南寨镇到密云区河南寨镇,2019规自条市政字0115号,2019条市政字0115,办结
国网北京市电力公司,,由丰台区金中都南路金中都南路至六圈路到丰台区六圈路,2019规自条市政否字0028号,2019条市政字0113,办结
北京市自来水集团有限责任公司,石景山区水厂DN1000-DN1600（金顶北路，北辛安东路）配水干线工程,由石景山区石景山水厂阜石路石景山水厂到石景山区阜石路,,2019条市政字0112,正常移交
国网北京市电力公司,栗元-石龙220千伏线路工程,由门头沟区栗元220千伏变电站门头沟区栗元220千伏变电站、石景山区石龙220千伏变电站到石景山区石龙220千伏变电站,,2019条市政字0111,正常移交
