建设单位,项目名称,建设位置,规划验收证照名称,规划验收发文号,验收日期
北京京南顺达投资管理有限责任公司,大兴区新城团桂路（清源路-通黄路）道路工程,由大兴区清源路到大兴区通黄路,,2019分条市政字0133,正常移交
北京新航城开发建设有限公司,北京大兴国际机场生活保障基地祥和街道路工程,由大兴区榆平路到大兴区榆纬三路,,2019分条市政字0126,正常移交
北京新航城开发建设有限公司,北京大兴国际机场生活保障基地榆平路道路工程,由大兴区106国道到大兴区昌平街,,2019分条市政字0125,正常移交
北京信息基础设施建设股份有限公司,朝阳区十里堡路（规划星火路）过二道沟新建信息管道工程,由朝阳区二道沟南滨河路到朝阳区十里堡北里南街,2019规自（朝）条市政字0003号,2019分条市政字0124,办结
国网北京市电力公司,顺丰110千伏输变电工程送电工程,顺义区,2019规自（顺）条市政字0021号,2019分条市政字0119,办结
北京唯逸房地产开发有限公司,丰台区花乡樊家村危改12号地项目首经贸中路电力工程,由丰台区花乡樊家村到丰台区花乡樊家村,,2019分条市政字0117,正常移交
国网北京市电力公司,湖园一线、湖黄线架空线路迁改（环球主题公园）工程,由通州区台湖镇到通州区台湖镇,2019规自（通）条市政字0027号,2019分条市政字0107,办结
北京兴延置业有限公司,南菜园1-5巷棚户区改造项目,由延庆区南菜园1-5巷经延庆区到延庆区南菜园1-5巷,,2019分条市政字0105,正常移交
国网北京市电力公司,西智35千伏变电站升压工程（隧道工程）,由密云区溪翁庄镇经密云区到密云区溪翁庄镇,2019规自（密）条市政字0002号,2019分条市政字0103,办结
北京北燃港华燃气有限公司,北京经济技术开发区路东区E9-2区间路天然气工程,由亦庄开发区科创九街经E9-2区间路到亦庄开发区科创十街,2019规（开）条市政字0009号,2019分条市政字0101,办结
北京亦庄投资控股有限公司,北京经济技术开发区路南区瑞合东三路（融兴街-融兴北一街)新建道路工程,由亦庄开发区融兴街经瑞和东三路到亦庄开发区融兴北一街,2019规（开）条市政字0012号,2019分条市政字0095,办结
北京市通州区水务局,北京城市副中心雨污合流管网改造工程（陈列馆路）,由通州区潞苑北大街到通州区朝阳北路,2019规自（通）条市政字0029号,2019分条市政字0094,办结
北京市通州区水务局,北京城市副中心雨污合流管网改造工程（潞苑东路）,由通州区潞苑北大街到通州区朝阳北路,2019规自（通）条市政字0028号,2019分条市政字0093,办结
北京市通州区水务局,北京城市副中心雨污合流管网改造工程（永顺北街）建设项目,由通州区通惠北路到通州区新华北路,2019规自（通）条市政字0030号,2019分条市政字0092,办结
北京市通州区水务局,北京城市副中心雨污合流管网改造工程（梨园北街）建设项目,由通州区玉桥中路到通州区玉桥东路,2019规自（通）条市政字0031号,2019分条市政字0091,办结
北京市通州区水务局,北京城市副中心雨污合流管网改造工程（玉桥东路）建设项目,由通州区运河西大街到通州区梨园南街,2019规自（通）条市政字0032号,2019分条市政字0090,办结
国网北京市电力公司,孙怀一二220千伏架空线升级改造工程,由顺义区后沙峪镇经顺义区到顺义区后沙峪镇,2019规自（顺）条市政字0014号,2019分条市政字0089,办结
北京信息基础设施建设股份有限公司,槐房西路（南四环西路—南苑镇南三号路）架空线入地新建信息管道工程,由丰台区区界到丰台区南四环西路,2019规自（丰）条市政字0007号,2019分条市政字0088,办结
北京信息基础设施建设股份有限公司,丰台区大红门南路（大红门派出所-北马中路）架空线入地新建12孔信息管道工程,丰台区,,2019分条市政字0087,正常移交
北京市燃气集团有限责任公司,通州区怡乐西路次高压A天然气工程,由通州区云瑞北街到通州区怡乐南街,2019规自（通）条市政字0026号,2019分条市政字0084,办结
北京市大兴区京南物流基地管理委员会,大兴区海南西路（天和路～兆丰路）道路工程,大兴区,,2019分条市政字0082,正常移交
北京市自来水集团有限责任公司,海淀区供水管网完善工程,由海淀区西五环路西侧到海淀区小府路,,2019分条市政字0081,正常移交
北京市自来水集团有限责任公司,海淀区供水管网完善工程,由海淀区成府路到海淀区燕东园南门,,2019分条市政字0080,正常移交
北京市自来水集团有限责任公司,海淀区供水管网完善工程,由海淀区外语学校东路西侧到海淀区常青园路,,2019分条市政字0079,正常移交
新华家园健康科技（北京）有限公司,新华家园养老住区（延庆）项目外电源项目,由延庆区延庆镇经延庆区到延庆区延庆区莲花池村,2019规自（延）条市政字0009号,2019分条市政字0076,办结
北京城市排水集团有限责任公司,肖家河桥桥区积水治理工程,由海淀区圆明园西路到海淀区树村北街,2019规自（海）条市政字0004号,2019分条市政字0074,办结
北京石泰基础设施投资有限公司,石景山区衙门口地区张鲁110千伏输电架空线入地电力隧道工程,由石景山区衙门口十二号路经衙门口东路到石景山区莲石东路,2019规自（石）条市政字0004号,2019分条市政字0072,办结
北京怀胜城市建设开发有限公司,怀柔新城03街区下元、钓鱼台及东关棚户区改造配套电力管井工程（下元街、开放西路）,由怀柔区兴华大街到怀柔区府前街,2019规自（怀）条市政字0003号,2019分条市政字0069,办结
北京经济技术开发区基建办公室,北京经济技术开发区经海一路电力隧道工程,由亦庄开发区科创七街经经海一路到亦庄开发区科创十街,2019规（开）条市政字0004号,2019分条市政字0067,办结
北京经济技术开发区基建办公室,北京经济技术开发区新凤河路110千伏输变电配套电力沟道工程,由亦庄开发区博兴三路经新凤河路到亦庄开发区兴海路,2019规（开）条市政字0003号,2019分条市政字0066,办结
北京经济技术开发区基建办公室,北京经济技术开发区科创七街电力隧道工程,由亦庄开发区经海一路经科创七街到亦庄开发区经海三路,2019规（开）条市政字0002号,2019分条市政字0065,办结
北京经济技术开发区基建办公室,北京经济技术开发区科创八街电力隧道工程,由亦庄开发区经海一路经科创八街到亦庄开发区经海三路,2019规（开）条市政字0008号,2019分条市政字0064,办结
北京经济技术开发区基建办公室,北京经济技术开发区科创街电力隧道工程,由亦庄开发区经海一路经科创街到亦庄开发区经海三路,2019规（开）条市政字0007号,2019分条市政字0063,办结
北京经济技术开发区基建办公室,北京经济技术开发区经海二路电力隧道工程,由亦庄开发区科创七街经经海二路到亦庄开发区科创街,2019规（开）条市政字0006号,2019分条市政字0062,办结
北京市延庆区住房和城乡建设委员会,南山环线（一期）道路工程官聂延支110KV线路迁改,由延庆区八达岭镇小浮坨村经延庆区到延庆区大榆树镇小泥河村,2019规自（延）条市政字0007号,2019分条市政字0057,办结
北京财懋房地产开发有限公司,顺义区赵全营镇天承大街人行下穿通道,顺义区赵全营镇,2019规自（顺）条市政字0012号,2019分条市政字0056,办结
北京市通州区水务局,北京城市副中心雨污合流管网改造工程（群芳中一街）建设项目,由通州区梨园镇到通州区梨园镇,2019规自（通）条市政字0020号,2019分条市政字0055,办结
北京市通州区水务局,北京城市副中心雨污合流管网改造工程（万盛北街北侧路）建设项目,由通州区梨园镇到通州区梨园镇,2019规自（通）条市政字0021号,2019分条市政字0054,办结
北京市通州区水务局,北京城市副中心雨污合流管网改造工程（怡乐中街）建设项目,由通州区梨园镇到通州区梨园镇,2019规自（通）条市政字0022号,2019分条市政字0053,办结
北京市通州区水务局,北京城市副中心雨污合流管网改造工程（怡乐北街）建设项目,由通州区梨园镇到通州区梨园镇,2019规自（通）条市政字0023号,2019分条市政字0052,办结
北京市通州区水务局,北京城市副中心雨污合流管网改造工程（日新路）建设项目,由通州区梨园镇到通州区梨园镇,2019规自（通）条市政字0024号,2019分条市政字0051,办结
北京市通州区水务局,北京城市副中心雨污合流管网改造工程（荟萃南路）建设项目,由通州区梨园镇到通州区梨园镇,2019规自（通）条市政字0025号,2019分条市政字0050,办结
北京市昌平区水务局,昌平新城雨污合流管网改造工程,由昌平区城北街道到昌平区城北街道,2019规自（昌）条市政字0003号,2019分条市政字0048,办结
北京倚基土地开发有限公司,平谷区马坊镇中心区南区定向安置房（一期）项目金平西一路、盘龙东二路（盘龙东路）道路工程,由平谷区马坊镇到平谷区马坊镇,2019规自（平）条市政字0001号,2019分条市政字0047,办结
国网北京电力有限公司,鲁元110kv、石潭35kv架空线路迁改（隆泰实业）工程,由门头沟区永定镇岢罗坨村经秋坡村到门头沟区永定镇石佛村,2019规自（门）条市政字0002号,2019分条市政字0045,办结
北京住总置地有限公司,通州区台湖镇东石东南斜街（通马路—站前街南五街）道路工程,由通州区台湖镇到通州区台湖镇,2019规自（通）条市政字0019号,2019分条市政字0044,办结
北京住总置地有限公司,通州区台湖镇次渠中三路（站前街南六街～站前街）道路工程,由通州区台湖镇到通州区台湖镇,2019规自（通）条市政字0018号,2019分条市政字0043,办结
北京首开中晟置业有限责任公司,顺义区马坡镇西丰乐村棚户区改造土地开发项目,,,2019分条市政字0040,正常移交
北京市顺义区市政市容建设服务中心,北京终端管制中心周边道路及市政配套工程-李天路排水工程,由顺义区李桥到顺义区李桥,2019规自（顺）条市政字0010号,2019分条市政字0037,办结
北京燃气延庆有限公司,七中中压线天然气工程,由延庆区延庆镇高塔街西到延庆区延庆镇悦安居小区,2019规自（延）条市政字0002号,2019分条市政字0034,办结
国网北京市电力公司,科学城东110千伏输变电工程,由怀柔区怀北镇新峰村到密云区西田各庄镇建新村,2019规自（怀）条市政字0002号,2019分条市政字0033,办结
北京城市排水集团有限责任公司,东北旺城铁立交桥桥区积水治理外部供电工程（东北旺雨水泵站升级改造工程）,由海淀区西二旗北路到海淀区西二旗中街,2019规自（海）条市政字0003号,2019分条市政字0027,办结
国网北京市电力公司,冬奥村（玉渡）110千伏输变电工程外电源线路,由延庆区大榆树镇经延庆区到延庆区张山营镇,2019规自（延）条市政字0005号,2019分条市政字0026,办结
汇天网络科技有限公司,汇天网络科技有限公司新建110KV变电站外电源工程,由通州区潞苑北大街到通州区壁富路,2019规自（通）条市政字0007号,2019分条市政字0021,办结
中建京北投资发展有限公司,延庆区小营村石河营村棚户区改造项目市政工程设计综合,延庆区延庆镇小营村石河营村,2019规自（延）条市政字0003号,2019分条市政字0020,办结
北京中关村延庆园建设发展有限公司,中关村长城脚下的创新家园起步区起步区（市政工程）,由延庆区康庄镇经延庆区到延庆区康庄镇,,2019分条市政字0018,正常移交
北京市顺义区北务镇人民政务,北务镇人民政府再生水厂市政配套项目,由顺义区北务镇到顺义区北务镇,2019规自（顺）条市政字0007号,2019分条市政字0004,办结
北京未来科学城发展集团有限公司,北京未来科学城南北区十一条支路与南区加密三号路（南段）道路工程,由昌平区北七家镇到昌平区北七家镇,2019规自（昌）条市政字0002号,2019分条市政字0003,办结
北京海融达投资建设有限公司,中关村软件园及后厂村路应急排涝工程,由海淀区西北旺镇后厂村路与中关村软件园西三路交叉口到海淀区西北旺镇西北旺北环路,2019规自（海）条市政字0002号,2019分条市政字0002,办结
首钢集团有限公司,新首钢高端产业综合服务区五一剧场及秀池周边道路-电厂东路、电厂路、五一剧场街、群明湖北路,由石景山区群明湖北路经石景山到石景山区秀池南街,2019规自（石）条市政字0002号,2019分条市政字0001,办结
北京城建长泰房地产开发有限责任公司,房山区长沟镇新型城镇化建设北部浅山区土地一级开发项目（一期）配套纬八路工程,房山区长沟镇,2019规自（房）条基字0001号,2019分条基字0001,办结
北京市国土资源局经济技术开发区分局,M1一类工业用地,亦庄开发区路南区N5M1地块,2019规（开）条供字0015号,2019分条供字0071,办结
北京市土地整理储备中心房山区分中心,B4综合性商业金融服务业用地等2项,房山区青龙湖镇窦各庄,2019规自（房）条供字0002号,2019分条供字0070,办结
北京市土地整理储备中心房山区分中心,房山区青龙湖镇中心区01-0063等地块项目,房山区青龙湖镇窦各庄,,2019分条供字0070,正常移交
北京市土地整理储备中心大兴区分中心,大兴区庞各庄镇镇区改造11号地DX06-0103-6001、6002、6003地块,大兴区庞各庄,,2019分条供字0069,正常移交
北京市国土资源局经济技术开发区分局,R2二类居住用地等2项,亦庄开发区E9R3、E9R4地块,2019规（开）条供字0014号,2019分条供字0068,办结
北京市国土资源局经济技术开发区分局,R2二类居住用地、A33基础教育用地,亦庄开发区E9R2、E9A2地块,2019规（开）条供字0013号,2019分条供字0067,办结
北京市国土资源局经济技术开发区分局,M1一类工业用地,亦庄开发区N86M1地块,2019规（开）条供字0012号,2019分条供字0066,办结
北京市土地整理储备中心怀柔区分中心,北京怀柔新城07街区HR00-0007-6001、6006地块,怀柔区杨宋镇凤翔一园10号,,2019分条供字0064,正常移交
北京市土地整理储备中心顺义区分中心,顺义新城第1街区SY00-0001-0320、6001地块,顺义区望泉北街,,2019分条供字0063,正常移交
北京市土地整理储备中心大兴区分中心,孙村组团产业园区D-15-1地块,大兴区海鑫南路,,2019分条供字0062,正常移交
北京市土地整理储备中心大兴区分中心,村组组团产业园区D-12-1B地块,大兴区海鑫南路15,,2019分条供字0060,正常移交
北京市土地整理储备中心大兴区分中心,大兴区孙村组团产业园区D-15-1地块,大兴区海鑫南路,,2019分条供字0059,正常移交
北京市土地整理储备中心大兴区分中心,大兴区孙村组团产业园区D-12-1B地块,大兴区海鑫南路15,,2019分条供字0058,正常移交
北京市土地整理储备中心房山区分中心,M4工业研发用地、S4社会停车场用地等3项,房山区窦店,2019规自（房）条供字0001号,2019分条供字0057,办结
北京市土地整理储备中心朝阳分中心,F1住宅混合公建用地、A33基础教育用地,朝阳区东坝乡驹子房,2019规自（朝）条供字0003号,2019分条供字0051,办结
北京市土地整理储备中心昌平区分中心,R2二类居住用地等2项,昌平区东小口马连店,2019规自（昌）条供字0001号,2019分条供字0049,办结
北京市土地整理储备中心大兴区分中心,M1一类工业用地,生物医药基地,2019规自（大）条供字0003号,2019分条供字0047,办结
北京市土地整理储备中心大兴区分中心,M1一类工业用地,生物医药基地,2019规自（大）条供字0004号,2019分条供字0046,办结
北京市土地整理储备中心大兴分中心,M1一类工业用地,大兴区生物医药基地,2019规自（大）条供字0002号,2019分条供字0045,办结
北京市土地整理储备中心丰台区分中心,R2二类居住用地、A33基础教育用地等4项,丰台区王佐魏各庄,2019规自（丰）条供字0002号,2019分条供字0042,办结
北京市土地整理储备中心怀柔区分中心,M1一类工业用地,怀柔区庙城镇西台下,2019规自（怀）条供字0002号,2019分条供字0041,办结
北京市土地整理储备中心大兴区分中心,大兴区旧宫镇DX05-0200-0013、0018、0019、0020地块,大兴区旧宫镇,,2019分条供字0040,正常移交
北京市土地整理储备中心顺义区分中心,顺义新城第30街区30-01-（01-04、06）地块,北小营镇,,2019分条供字0036,正常移交
北京市土地整理储备中心石景山区分中心,B4综合性商业金融服务业用地、F3其他类多功能用地等5项,石景山区古城南,2019规自（石）条供字0002号,2019分条供字0035,办结
北京市土地整理储备中心大兴区分中心,M1一类工业用地,大兴区丰达街,2019规自（大）条供字0001号,2019分条供字0034,办结
北京市土地整理储备中心海淀区分中心,“海淀北部地区整体开发”永丰产业基地HD00-0402-0102地块,海淀区西北旺,,2019分条供字0033,正常移交
北京市土地整理储备中心顺义区分中心,R2二类居住用地等2项,顺义区高丽营,2019规自（顺）条供字0002号,2019分条供字0032,办结
北京市土地整理储备中心怀柔分中心,怀柔新城03街区下元、钓鱼台及东关棚户区改造项目,怀柔区怀柔新城03街区,,2019分条供字0031,正常移交
北京市土地整理储备中心丰台区分中心,地铁九号线六里桥西站上盖土地一级开发项目,丰台区卢沟桥六里桥,,2019分条供字0030,正常移交
北京市土地整理储备中心海淀区分中心,F1住宅混合公建用地、A33基础教育用地等3项,海淀区苏家坨,2019规自（海）条供字0001号,2019分条供字0029,办结
北京市土地整理储备中心海淀区分中心,B1商业用地,海淀区西北旺镇,2019规自（海）条供字0002号,2019分条供字0028,办结
北京市国土资源局经济技术开发区分局,M1一类工业用地,亦庄开发区核心区34M3地块,2019规（开）条供字0011号,2019分条供字0027,办结
北京市土地整理储备中心石景山区分中心,R2二类居住用地、B4综合性商业金融服务业用地等9项,石景山区古城南,2019规自（石）条供字0001号,2019分条供字0025,办结
北京市土地整理储备中心顺义区分中心,R2二类居住用地,顺义新城第19街区,2019规自（顺）条供字0001号,2019分条供字0020,办结
北京市土地整理储备中心海淀区分中心,B4综合性商业金融服务业用地,海淀区西三旗,2019规自（海）条供字0003号,2019分条供字0016,办结
北京市国土资源局经济技术开发区分局,M1一类工业用地,亦庄开发区河西区X62M4地块,2019规（开）条供字0007号,2019分条供字0015,办结
北京市国土资源局经济技术开发区分局,M1一类工业用地,亦庄开发区路南区N87M1地块,2019规（开）条供字0006号,2019分条供字0014,办结
北京市国土资源局经济技术开发区分局,M1一类工业用地,亦庄开发区路南区N35M1地块,2019规（开）条供字0008号,2019分条供字0013,办结
北京市国土资源局经济技术开发区分局,M1一类工业用地,亦庄开发区路南区N9M2地块,2019规（开）条供字0010号,2019分条供字0012,办结
北京市国土资源局经济技术开发区分局,M1一类工业用地,亦庄开发区路南区N9M1地块,2019规（开）条供字0009号,2019分条供字0011,办结
北京市国土资源局经济技术开发区分局,M1一类工业用地,亦庄开发区路南区N8M3地块,2019规（开）条供字0005号,2019分条供字0010,办结
北京市国土资源局经济技术开发区分局,M1一类工业用地,亦庄开发区路南区N2M3地块,2019规（开）条供字0004号,2019分条供字0009,办结
北京市国土资源局经济技术开发区分局,M1一类工业用地,亦庄开发区路东区E7M1地块,2019规（开）条供字0003号,2019分条供字0008,办结
北京市国土资源局经济技术开发区分局,M1一类工业用地,亦庄开发区66M2地块,2019规（开）条供字0002号,2019分条供字0006,办结
北京市国土资源局经济技术开发区分局,M1一类工业用地,亦庄开发区E7M2地块,2019规（开）条供字0001号,2019分条供字0002,办结
中业有限公司,中业有限公司10KV供电工程,由东城区和平里东街到东城区和平里东街32号,,2019分市政建字1062,正常移交
北京中海盈达房地产开发有限公司,大兴区瀛海镇YZ00-0803-6024、6025、6032、6035、6038 地块F1住宅混合公建用地、A33基础教育用地、S32公交场站设施用地项目（公交站房）,瀛海镇,,2019分市政建字1061,正常移交
北京万方安和投资有限责任公司,唐家岭东一路雨污水工程,由海淀区土井村路到海淀区唐家岭南街,,2019分市政建字1060,正常移交
北京市自来水集团有限责任公司,郭公庄水厂柳村路配水干线工程,,,2019分市政建字1059,正常移交
北京怀柔科学城建设发展有限公司,永乐北二街道路工程,,2019规自（怀）建市政字0020号,2019分市政建字1056,办结
国网北京市电力公司,昌平区西沙二、西回110KV双回架空线迁改（京张客专）工程,,2019规自（昌）建市政字0048号,2019分市政建字1050,办结
国网北京市电力公司,昌平区水口110KV双回架空线路（京张高铁）工程,由昌平区南口镇到昌平区南口镇,2019规自（昌）建市政字0049号,2019分市政建字1049,办结
北京城市副中心投资建设集团有限公司 ,运潮北路（召里西一路-通济路）雨、污水工程,,,2019分市政建字1048,正常移交
北京城市副中心投资建设集团有限公司 ,召里西路（召里大街-运潮北路）雨、污水工程,,,2019分市政建字1047,正常移交
北京城市副中心投资建设集团有限公司 ,运潮北路（召里西一路-通济路）再生水工程,,,2019分市政建字1046,正常移交
北京顺义自来水有限责任公司,顺平辅线（顺密路-顺平路）给水工程,,,2019分市政建字1045,正常移交
北京安泰兴业置业有限公司,北辛安棚户区改造项目北辛安二街（北辛安路-古城西路）电力工程,由石景山区北辛安路经北辛安西路、东路、东一路、东二路到石景山区古城西路,,2019分市政建字1044,正常移交
国网北京市电力公司,喇叭沟门35千伏输变电工程（架空线路）,,2019规自（怀）建市政字0018号,2019分市政建字1043,办结
北京燃气延庆有限公司,沈家营次高压中压出线,,2019规自（延）建市政字0043号,2019分市政建字1042,办结
国网北京市电力公司,丽泽商务区配套电力隧道建设（南区）工程（凤凰嘴北路）,由丰台区到丰台区,2019规自（丰）建市政字0071号,2019分市政建字1037,办结
北京绿州博园投资有限公司,密云区长安新村和南菜园新村棚户区改造项目大市政燃气工程,由密云区水源路到南更大街,2019规自（密）建市政字0022号,2019分市政建字1036,办结
国网北京市电力公司,土井110千伏输变电工程电缆隧道,由海淀区拟建变电站隧道甩口到海淀区西北旺镇北环路现状井,2019规自（海）建市政字0168号,2019分市政建字1035,办结
北京首钢建设投资有限公司,首钢东南区五街给水工程,由石景山区经石景山区到石景山区,2019规自（石）建市政字0063号,2019分市政建字1034,办结
国网北京市电力公司,西上220千伏双回架空线路迁改（京张客专）工程,,2019规自（昌）建市政字0045号,2019分市政建字1033,办结
国网北京市电力公司,昌平区军东220千伏、西牛110千伏四回架空线路迁改（京张客专）工程,,2019规自（昌）建市政字0047号,2019分市政建字1032,办结
国网北京市电力公司,鹿聂110千伏架空线路迁改（京张高铁）工程,,2019规自（昌）建市政字0046号,2019分市政建字1031,办结
国网北京市电力公司,科学城东110千伏输变电工程（送电工程）,由怀柔区科学城东110千伏变电站到密云区建新村西,2019规自（怀）建市政字0017号,2019分市政建字1030,办结
北京市燃气集团有限责任公司,龙海路天然气工程,,2019规自（大）建市政字0117号,2019分市政建字1029,办结
北京丰合联物资供销有限公司,北京丰合联物资供销有限公司杜家坎采暖及公服天然气工程（周口店路部分）,,,2019分市政建字1027,正常移交
北京未来科学城发展集团有限公司,昌平区未来科学城垃圾气力管道收集输送工程N1站,昌平区小汤山镇,2019规自（昌）建市政字0044号,2019分市政建字1026,办结
液化空气（北京）工业气体有限公司,液化空气（北京）工业气体有限公司大宗气站三期项目,由亦庄开发区文昌大道与地盛中路路口预留的氮气管道阀门井经亦庄开发区到亦庄开发区中芯国际红线内,,2019分市政建字1025,正常移交
北京市自来水集团有限责任公司,朝阳来广营地区供水管网完善工程,由朝阳区来广营到朝阳区来广营,2019规自（朝）建市政字0069号,2019分市政建字1024,办结
国网北京市电力公司,潭柘寺变电站建设工程,潭柘寺镇,2019规自（门）建市政字0024号,2019分市政建字1023,办结
国网北京市电力公司,昌平区亭自庄220千伏聂水、鹿聂110千伏四回架空线路迁改（京张客专）工程,,,2019分市政建字1022,正常移交
国网北京市电力公司,昌平区昌海500千伏单四架空线路迁改（京张客专）工程,由昌平区马池口镇到昌平区马池口镇,,2019分市政建字1021,正常移交
北京信息基础设施建设股份有限公司,延庆区康庄镇中关村长城脚下的创新家园起步区光谷一街等9条道路新建信息管道工程,,,2019分市政建字1020,正常移交
北京绿州博园投资有限公司,密云区长安新村和南菜园新村棚户区改造项目大市政给水工程,由密云县水源路到密云区阳光街,2019规自（密）建市政字0021号,2019分市政建字1017,办结
北京信息基础设施建设股份有限公司,北京市2019年石景山区上庄大街架空线入地新建信息管道工程,由石景山区石景山路经石景山区到石景山区区界,2019规自（石）建市政字0062号,2019分市政建字1015,办结
北京城市排水集团有限责任公司,东便门铁路桥区积水治理工程,由东城区东便门铁路桥西侧到东城区东便门铁路桥东侧,2019规自（东）建市政字0025号,2019分市政建字1014,办结
国网北京市电力公司,天塑一二110千伏线路迁改（京雄铁路段）工程,,2019规自（大）建市政字0115号,2019分市政建字1013,办结
北京华美顺达房地产开发有限公司,高丽营镇于庄03-21、03-31及SY02-0203-6004、SY-02-0103-6007地块R2二类居住用地项目配套道路工程,,2019规自（顺）建市政字0039号,2019分市政建字1008,办结
北京市自来水集团有限责任公司,海淀北部地区永丰调蓄水厂（配水厂）工程,海淀区西北旺镇六里屯村,2019规自（海）建市政字0163号,2019分市政建字1007,办结
北京城市副中心投资建设集团有限公司 ,运潮北路（召里西一路-通济路）道路工程,,2019规自（通）建市政字0122号,2019分市政建字1006,办结
北京城市副中心投资建设集团有限公司 ,召里西路（召里大街—运潮北路）道路工程,,2019规自（通）建市政字0121号,2019分市政建字1005,办结
北京首钢建设投资有限公司,首钢东南区五街电力工程,由石景山区料场路经石景山区到石景山区石景山体育场西路,2019规自（石）建市政字0061号,2019分市政建字1004,办结
北京首钢建设投资有限公司,首钢东南区五街排水工程,由石景山区料场路经石景山区到石景山区石景山体育场西路,2019规自（石）建市政字0060号,2019分市政建字1002,办结
北京市银光电力工程有限公司,北京首钢特殊钢有限公司电力改造工程,由石景山区古城小街北端经石景山区到石景山区古城小街南端,2019规自（石）建市政字0059号,2019分市政建字1001,办结
北京市怀柔区汤河口镇人民政府,国网北京怀柔供电公司汤河口110Kv变电站10Kv配套送出工程（土建管井）,,,2019分市政建字0999,正常移交
蓝鲸星奥（北京）酒店管理有限公司,蓝鲸星奥（北京）酒店管理有限公司天燃气工程,由朝阳区北辰东路到朝阳区北辰东路,2019规自（朝）建市政字0067号,2019分市政建字0998,办结
北京兴展盛业投资有限公司,机场生活保障基地首期项目市政配套工程榆纬新路燃气工程,,2019规自（大）建市政字0113号,2019分市政建字0997,办结
北京兴展盛业投资有限公司,机场生活保障基地首期项目市政配套工程榆纬新路道路工程,,2019规自（大）建市政字0112号,2019分市政建字0996,办结
北京兴展盛业投资有限公司,机场生活保障基地首期项目市政配套工程榆纬新路电力工程,,2019规自（大）建市政字0111号,2019分市政建字0995,办结
北京兴展盛业投资有限公司,机场生活保障基地首期项目市政配套工程榆纬新路给水工程,由大兴区到大兴区,2019规自（大）建市政字0110号,2019分市政建字0994,办结
北京兴展盛业投资有限公司,机场生活保障基地首期项目市政配套工程榆纬新路排水工程,,2019规自（大）建市政字0109号,2019分市政建字0993,办结
北京兴展盛业投资有限公司,机场生活保障基地首期项目市政配套工程榆纬新路再生水工程,,2019规自（大）建市政字0108号,2019分市政建字0992,办结
北京首钢建设投资有限公司,首钢东南区五街道路工程,由石景山区料场路经石景山区到石景山区,2019规自（石）建市政字0058号,2019分市政建字0991,办结
国网北京市电力公司,丽泽商务区配套电力隧道建设（南区）工程（金中都路）,,2019规自（丰）建市政字0069号,2019分市政建字0990,办结
国网北京市电力公司,丽泽商务区配套电力隧道建设（南区）工程（骆驼湾西路）,,2019规自（丰）建市政字0068号,2019分市政建字0989,办结
北京市燃气集团有限责任公司,九棵树中路天然气改移工程,,2019规自（通）建市政字0120号,2019分市政建字0987,办结
北京燃气延庆有限公司,旧县中压线工程,由延庆县旧县镇古城西桥西侧经旧县镇到延庆区旧县镇八峪路东侧,2019规自（延）建市政字0039号,2019分市政建字0985,办结
北京信息基础设施建设股份有限公司,海淀区唐家岭东二路（土井村路—邓庄南路）随路新建信息管道工程,由海淀区土井村路到海淀区邓庄南路,2019规自（海）建市政字0162号,2019分市政建字0984,办结
北京佳源投资经营有限责任公司,朝阳区豆各庄东城区定向安置房项目孛罗营北路（通惠灌渠西路~茶家东路）市政排水,,,2019分市政建字0981,正常移交
北京城市副中心投资建设集团有限公司,大营南街（通济路-畅和东路）道路工程,由通州区潞城镇到通州区潞城镇,2019规自（通）建市政字0119号,2019分市政建字0980,办结
北京城市副中心投资建设集团有限公司,朗清街（通济路-春明西路）道路工程,由通州区潞城镇到通州区潞城镇,2019规自（通）建市政字0118号,2019分市政建字0979,办结
北京首钢建设投资有限公司,首钢东南区二路排水工程,由石景山区经石景山区到石景山区,2019规自（石）建市政字0057号,2019分市政建字0978,办结
北京怀胜城市建设开发有限公司,怀柔新城03街区下元、钓鱼台及东关棚户区改造配套基础设施工程府前东街排水改造工程,,2019规自（怀）建市政字0015号,2019分市政建字0977,办结
北京博达顺源天然气有限公司,安四路东侧、昌金路南侧CNG加气母站项目,昌平区兴寿镇,2019规自（昌）建市政字0041号,2019分市政建字0975,办结
北京一商集团有限责任公司干部学校,新建电缆分界小室,由海淀区西三环晨月园小区到海淀区一商集团干部学校,2019规自（海）建市政字0161号,2019分市政建字0973,办结
北京安泰兴业置业有限公司,北辛安棚户区改造项目古城西路（北辛安二街-古城村北街）电力工程,由石景山区北辛安二街经石景山到石景山区古城村北街,2019规自（石）建市政字0055号,2019分市政建字0972,办结
北京首钢建设投资有限公司,石景山首钢园区东南区土地一级开发项目-首钢东南区二路热力工程,,,2019分市政建字0971,正常移交
北京首钢建设投资有限公司,石景山首钢园区东南区土地一级开发项目-首钢东南区二路电力工程,,2019规自（石）建市政字0052号,2019分市政建字0970,办结
北京实创科技园开发建设股份有限公司,翠湖科技园A地块规划纵三路道路工程,由海淀区创新园纬五路到海淀区创新园纬三路,,2019分市政建字0969,正常移交
国网北京市电力公司,洪寺110千伏输变电工程,房山区洪寺村,2019规自（房）建市政字0061号,2019分市政建字0966,办结
国网北京市电力公司,丽泽商务区配套电力隧道建设（南区）工程（万泉寺东路）,,,2019分市政建字0965,正常移交
